YYYYMMDD,MKT_RF,SMB,HML,RF,CNSMR,MANUF,HITEC,HEALTH,OTHER
20170418,-0.25,0.36,-0.18,0.003,0.07,-0.26,0.02,-1.04,-0.44
20170419,-0.08,0.59,-0.43,0.003,0.01,-0.54,0.01,0.26,0.01
20170420,0.83,0.51,0.26,0.003,0.6,0.57,0.78,0.57,1.44
20170421,-0.28,0.11,-0.14,0.003,-0.17,-0.01,-0.17,-0.54,-0.58
20170424,1.18,0.18,0.49,0.003,0.9,1.03,1.13,1.05,1.61
20170425,0.66,0.36,-0.05,0.003,0.31,0.96,0.64,0.62,0.72
20170426,0.04,0.71,0.31,0.003,0.08,-0.33,0.06,0.37,0.18
20170427,0.05,-0.14,-0.96,0.003,0.15,-0.28,0.48,0.34,-0.31
20170428,-0.3,-0.68,-0.61,0.003,-0.27,-0.38,0.05,0.21,-0.85
20170501,0.21,0.26,-0.13,0.003,-0.18,-0.22,0.6,0.21,0.39
20170502,0.03,-0.47,-0.19,0.003,0.05,-0.23,0.12,0.12,0.19
20170503,-0.19,-0.55,0.22,0.003,-0.06,-0.12,-0.54,-0.52,0.19
20170504,0.02,-0.06,-0.38,0.003,0.22,-0.55,0,0.45,0.14
20170505,0.46,0.06,0.04,0.003,0.44,1.08,0.7,-0.22,0.06
20170508,-0.04,-0.25,0.26,0.003,0.21,0.06,0.18,-0.88,-0.27
20170509,-0.05,0.5,-0.8,0.003,0.16,-0.49,0.11,0.2,-0.15
20170510,0.21,0.19,0.04,0.003,0.11,0.55,0.14,-0.24,0.16
20170511,-0.26,-0.36,-0.15,0.003,-0.39,-0.12,-0.15,0.02,-0.4
20170512,-0.18,-0.29,-0.61,0.003,-0.33,-0.18,0.13,0,-0.49
20170515,0.53,0.26,0.21,0.003,0.26,0.57,0.44,0.71,0.68
20170516,-0.03,0.15,-0.08,0.003,-0.22,-0.25,0.32,-0.2,-0.05
20170517,-1.97,-0.87,-0.52,0.003,-1.07,-1.15,-2.61,-1.51,-2.64
20170518,0.4,0.03,-0.4,0.003,0.4,-0.06,0.68,0.45,0.37
20170519,0.7,-0.38,0.39,0.003,0.64,1.15,0.59,0.05,0.8
20170522,0.56,0.27,-0.27,0.003,0.63,0.28,0.86,0.23,0.54
20170523,0.18,-0.1,0.62,0.003,-0.23,0.19,0.06,0.29,0.57
20170524,0.24,-0.14,-0.48,0.003,0.3,0.19,0.47,0.19,0.02
20170525,0.42,-0.29,-0.74,0.003,0.77,-0.25,0.7,0.4,0.36
20170526,0.06,-0.02,0.09,0.003,0.22,0.11,0.13,-0.36,-0.03
20170530,-0.19,-0.5,-0.33,0.003,-0.07,-0.36,0.24,-0.35,-0.54
20170531,-0.02,0.03,-0.55,0.003,0.21,0.08,-0.13,0.53,-0.35
20170601,0.95,1,0.04,0.003,1.09,0.78,0.57,1.19,1.29
20170602,0.35,0.54,-0.81,0.003,0.31,0,0.81,0.79,0.03
20170605,-0.17,-0.46,-0.01,0.003,-0.05,-0.28,-0.14,-0.44,-0.09
20170606,-0.28,0.1,-0.03,0.003,-0.71,0.11,-0.23,-0.28,-0.34
20170607,0.15,-0.19,-0.05,0.003,0.09,-0.44,0.21,0.2,0.6
20170608,0.18,1.15,0.92,0.003,-0.34,-0.01,0.17,0.08,0.77
20170609,-0.12,0.02,2.46,0.003,-0.18,1.01,-2.1,0.63,1.08
20170612,-0.11,-0.26,0.34,0.003,-0.15,0.06,-0.43,-0.03,0.13
20170613,0.55,0.09,-0.14,0.003,0.48,0.7,0.58,0.16,0.53
20170614,-0.17,-0.48,-0.52,0.003,0.29,-0.71,-0.51,0.48,0.04
