YYYYMMDD,MKT_RF,SMB,HML,RF,CNSMR,MANUF,HITEC,HEALTH,OTHER
20180406,-2.19,0.41,-0.05,0.007,-1.76,-2.02,-2.25,-2.45,-2.38
20180409,0.3,-0.16,-0.5,0.007,-0.17,0.1,0.57,1.23,0.11
20180410,1.77,0.39,-0.13,0.007,1.23,1.84,2.23,1.83,1.49
20180411,-0.49,0.92,-0.31,0.007,-0.35,0.01,-0.46,-0.55,-0.89
20180412,0.84,-0.23,0.19,0.007,0.24,0.32,1,0.76,1.44
20180413,-0.37,0.03,-0.26,0.007,-0.3,0.32,-0.37,-0.24,-0.89
20180416,0.82,0.07,-0.03,0.007,0.98,1.05,0.8,0.36,0.8
20180417,1.09,0.17,-1.18,0.007,1.08,0.84,1.79,0.7,0.59
20180418,0.13,0.24,0.04,0.007,0.13,0.65,-0.07,-0.02,0.06
20180419,-0.49,-0.47,1.07,0.007,-1.12,-0.55,-0.94,-0.8,0.63
20180420,-0.81,0.06,0.59,0.007,-1.27,-0.7,-1.31,-0.56,-0.11
20180423,-0.05,-0.07,0.21,0.007,0.12,0.08,-0.22,0.24,-0.09
20180424,-1.3,0.52,1,0.007,-1.21,-1.55,-1.7,-0.89,-0.83
20180425,0.1,-0.34,0.04,0.007,0.24,0.45,-0.07,0.27,-0.06
20180426,0.96,-0.39,-0.87,0.007,1.61,0.7,1.24,1.37,0.28
20180427,0.01,-0.26,0.04,0.007,0.95,-0.5,-0.47,0.41,0.17
20180430,-0.8,0.05,-0.09,0.007,-0.58,-0.65,-0.68,-1.62,-0.88
20180501,0.24,0.23,-0.56,0.006,-0.35,-0.36,0.98,0.26,0.26
20180502,-0.63,1.29,-0.34,0.006,-0.96,-0.29,-0.36,-1.26,-0.76
20180503,-0.25,-0.5,-0.17,0.006,-0.65,-0.05,0.16,-0.6,-0.42
20180504,1.3,0.02,-0.18,0.006,1.19,1,1.84,0.95,1.18
20180507,0.42,0.41,-0.35,0.006,-0.15,0.32,0.82,0.22,0.5
20180508,0.07,0.48,0.26,0.006,-0.09,0.04,0.04,-0.67,0.52
20180509,0.89,-0.19,0.26,0.006,0.23,1.01,1.09,1.03,0.93
20180510,0.84,-0.44,-0.06,0.006,0.44,0.76,1.2,0.95,0.78
20180511,0.19,0.12,-0.37,0.006,0.18,0.04,-0.08,1.45,0.14
20180514,0.05,-0.35,0.11,0.006,0.13,0.19,-0.09,0.47,-0.09
20180515,-0.55,0.68,0.41,0.006,-0.52,-0.32,-0.88,-0.97,-0.21
20180516,0.5,0.7,-0.25,0.006,0.77,0.34,0.5,0.68,0.38
20180517,0.02,0.9,0.29,0.006,0.07,0.64,-0.38,-0.03,0.04
20180518,-0.23,0.58,-0.61,0.006,-0.47,-0.16,-0.12,0.24,-0.43
20180521,0.72,-0.21,0.42,0.006,0.6,1.11,0.72,-0.24,0.88
20180522,-0.42,-0.77,0.62,0.006,-0.68,-0.91,-0.34,-0.23,0.01
20180523,0.29,0.05,-0.7,0.006,0.66,0.24,0.6,0.54,-0.34
20180524,-0.16,0.36,-0.34,0.006,0.17,-0.36,-0.06,-0.21,-0.26
20180525,-0.21,0.23,-0.42,0.006,0.01,-0.87,-0.01,-0.13,-0.15
20180529,-1.03,1.34,-0.99,0.006,-0.36,-0.63,-0.67,-0.81,-2.21
20180530,1.31,0.05,0.38,0.006,1.27,1.75,0.78,1.45,1.57
20180531,-0.7,0.07,-0.41,0.006,-0.89,-1.07,-0.18,-0.59,-0.93
20180601,1.06,-0.23,-0.11,0.006,0.54,0.44,1.66,1.25,1.07
20180604,0.48,0.15,-0.46,0.006,1.25,-0.28,0.71,0.28,0.3
20180605,0.16,0.83,-0.43,0.006,0.46,-0.03,0.42,-0.06,-0.11
20180606,0.86,-0.35,0.19,0.006,0.57,0.44,0.71,0.94,1.47
20180607,-0.14,-0.3,0.91,0.006,0.33,0.66,-0.76,-0.35,-0.04
20180608,0.31,0.09,-0.41,0.006,0.56,0.12,0.14,0.76,0.37
20180611,0.12,0.18,-0.17,0.006,0.57,0.05,0.17,-0.19,-0.03
20180612,0.23,0.24,-0.63,0.006,0.41,-0.07,0.58,0.11,-0.07
20180613,-0.33,0.1,-0.18,0.006,-0.22,-0.61,-0.3,-0.19,-0.31
20180614,0.27,0.32,-0.99,0.006,0.34,-0.06,0.84,0.58,-0.29
20180615,-0.08,0.04,-0.24,0.006,0.46,-0.63,-0.21,0.2,0
20180618,-0.09,0.73,0.08,0.006,-0.31,0.17,0.02,-0.77,-0.02
20180619,-0.38,0.56,-0.15,0.006,0.06,-0.7,-0.64,0.49,-0.41
20180620,0.23,0.73,-0.49,0.006,0.26,0.25,0.32,0.5,0.03
20180621,-0.73,-0.62,0.34,0.006,-0.39,-1.16,-0.9,-0.67,-0.43
20180622,0.11,0.02,0.46,0.006,0.05,1.13,-0.22,0.18,-0.18
20180625,-1.48,-0.55,0.57,0.006,-0.94,-1.05,-2.04,-1.07,-1.53
20180626,0.27,0.63,-0.24,0.006,0.25,0.63,0.31,-0.04,0.08
20180627,-1.02,-0.97,0.37,0.006,-0.88,0.12,-1.36,-1.4,-1.26
20180628,0.58,-0.17,-0.5,0.006,0.21,0.13,1.06,0.68,0.53
20180629,0.07,-0.2,-0.24,0.006,-0.35,0.57,0.03,0.31,-0.05
20180702,0.36,0.41,-0.23,0.008,-0.12,-0.4,0.97,0.46,0.49
20180703,-0.44,0.8,0,0.008,-0.17,0.08,-0.92,0.3,-0.65
20180705,0.87,0.44,-0.44,0.008,0.79,0.55,1.27,1.07,0.64
20180706,0.88,0.05,-0.31,0.008,0.54,0.53,1.21,1.73,0.62
20180709,0.93,-0.4,0.84,0.008,0.72,0.59,0.78,0.43,1.78
20180710,0.21,-0.78,-0.15,0.008,0.55,0.68,0.14,0.21,-0.22
20180711,-0.69,-0.02,-0.45,0.008,-0.35,-1.41,-0.58,-0.7,-0.54
20180712,0.86,-0.31,-1.09,0.008,0.46,0.39,1.69,1.21,0.32
20180713,0.08,-0.12,-0.27,0.008,0.65,0.46,-0.05,0.03,-0.3
20180716,-0.16,-0.78,0.96,0.008,-0.27,-0.66,-0.3,-0.74,0.66
20180717,0.48,0.25,-0.75,0.008,0.83,0.33,0.63,0.99,0.01
20180718,0.27,-0.28,0.65,0.008,-0.14,0.11,-0.13,-0.14,1.29
20180719,-0.34,0.98,-0.36,0.008,-0.13,0.11,-0.21,-0.52,-0.86
20180720,-0.1,-0.17,0.12,0.008,-0.05,-0.29,-0.09,-0.21,0.06
20180723,0.15,-0.3,0.53,0.008,-0.24,-0.67,0.33,0.22,0.76
20180724,0.22,-1.36,0.41,0.008,-0.05,0.86,0.19,0.59,-0.14
20180725,0.83,-0.43,-1.04,0.008,0.66,0.66,1.12,1.19,0.62
20180726,-0.2,0.65,0.56,0.008,-0.6,0.99,-0.83,-0.31,0.06
20180727,-0.82,-1.37,1.08,0.008,-0.23,-0.42,-1.7,-1.07,-0.28
20180730,-0.7,-0.23,1.58,0.008,-0.38,-0.17,-1.46,-0.08,-0.56
20180731,0.51,0.83,-1.11,0.008,0.24,1.06,0.49,1.23,0.09
20180801,-0.13,0.07,-0.2,0.007,-0.71,-1.16,0.65,0.31,-0.09
20180802,0.67,0.33,-0.69,0.007,1.1,0.02,1.22,0.39,0.31
20180803,0.31,-1.06,0.53,0.007,0.63,0.18,0.31,0.29,0.28
20180806,0.46,0.26,-0.33,0.007,0.35,0.28,0.75,0.24,0.39
20180807,0.29,0.01,-0.16,0.007,0.34,0.33,0.34,0,0.37
20180808,-0.04,-0.14,0.28,0.007,0.12,-0.54,0.1,-0.12,0.1
20180809,-0.05,0.37,-0.37,0.007,0.23,-0.38,0.18,-0.14,-0.25
20180810,-0.6,0.42,-0.2,0.007,-0.44,-0.45,-0.68,-0.34,-0.79
20180813,-0.46,-0.15,-0.29,0.007,-0.22,-0.73,-0.27,-0.1,-0.77
20180814,0.69,0.29,0.24,0.007,1.16,0.45,0.65,0.28,0.82
20180815,-0.91,-0.54,-0.13,0.007,-0.8,-1.46,-0.96,-0.24,-0.79
20180816,0.86,-0.07,0.25,0.007,1.1,1.15,0.42,0.94,1.01
20180817,0.3,0.08,0.02,0.007,0.36,0.41,0.2,0.52,0.24
20180820,0.25,0.12,0.14,0.007,0.32,0.48,-0.04,0.26,0.44
20180821,0.33,0.89,0.1,0.007,0.14,0.39,0.4,0.25,0.49
20180822,0.05,0.37,-0.35,0.007,-0.05,-0.09,0.3,0.33,-0.2
20180823,-0.19,-0.05,-0.33,0.007,-0.08,-0.5,0.07,-0.19,-0.36
20180824,0.62,-0.02,-0.58,0.007,0.03,0.71,1.13,0.32,0.48
20180827,0.74,-0.67,-0.16,0.007,0.35,0.73,0.83,0.46,1.02
20180828,-0.01,-0.12,-0.24,0.007,0,-0.22,0.16,0.04,-0.05
20180829,0.56,-0.04,-0.57,0.007,0.75,0.44,0.81,0.83,0.15
20180830,-0.41,0.29,-0.41,0.007,-0.49,-0.53,-0.28,0.05,-0.59
20180831,0.08,0.49,-0.39,0.007,0.41,-0.27,0.13,0.1,0.04
20180904,-0.11,-0.37,-0.01,0.008,0.34,-0.29,-0.34,-0.67,0.19
20180905,-0.41,-0.17,0.66,0.008,-0.13,0.55,-1.26,0.05,-0.33
20180906,-0.44,-0.35,-0.23,0.008,-0.26,-0.54,-0.6,-0.45,-0.25
20180907,-0.18,0.1,-0.24,0.008,-0.16,-0.36,-0.16,0.03,-0.17
20180910,0.23,0.11,-0.37,0.008,0.43,0.21,0.38,0.08,0.01
20180911,0.37,-0.28,-0.22,0.008,0.38,0.31,0.67,0,0.16
20180912,0.03,-0.05,-0.21,0.008,0.42,0.35,-0.2,0.33,-0.27
20180913,0.45,-0.44,-0.41,0.008,-0.26,0.42,1.03,0.98,0.04
20180914,0.12,0.26,0.25,0.008,-0.29,0.33,0.04,-0.28,0.55
20180917,-0.71,-0.45,0.85,0.008,-0.73,0.17,-1.3,-0.74,-0.59
20180918,0.57,0.05,-0.49,0.008,0.42,0.59,0.6,0.75,0.55
20180919,0.06,-0.66,1.29,0.008,-0.07,-0.02,-0.34,-0.35,0.83
20180920,0.77,0.3,-0.23,0.008,0.79,0.45,1.01,1.09,0.66
20180921,-0.13,-0.42,0.31,0.008,-0.21,0.4,-0.3,0.01,-0.19
20180924,-0.31,0.03,-0.88,0.008,-0.79,-0.28,0.19,0.42,-0.89
20180925,-0.05,0.28,-0.39,0.008,0.2,-0.25,0.16,-0.03,-0.32
20180926,-0.4,-0.38,-0.61,0.008,0.11,-0.78,-0.29,0.07,-0.78
20180927,0.27,-0.26,-0.53,0.008,0.26,0.12,0.64,0.32,-0.09
20180928,-0.03,0.41,-0.2,0.008,-0.16,0.2,0.2,0.33,-0.54
20181001,0.16,-1.61,0.36,0.008,-0.04,0.66,0.02,0.03,0.22
20181002,-0.21,-0.98,0.61,0.008,-0.76,0.37,-0.1,-0.36,-0.21
20181003,0.2,0.85,0.49,0.008,-0.46,0.1,0.35,-0.14,0.65
20181004,-0.93,-1.07,1.58,0.008,-0.89,-0.62,-1.58,-1.24,-0.16
20181005,-0.64,-0.41,0.4,0.008,-0.62,-0.2,-1.17,-0.17,-0.51
20181008,-0.17,-0.4,1.21,0.008,0.45,0.1,-0.87,-0.36,0.21
20181009,-0.18,-0.28,0.27,0.008,-0.12,-0.57,0.06,0.09,-0.34
20181010,-3.33,0.29,1.1,0.008,-2.66,-2.97,-4.3,-2.56,-3.16
20181011,-1.96,0.44,-0.92,0.008,-1.99,-2.42,-1.13,-2.47,-2.34
20181012,1.38,-0.87,-1.71,0.008,1.54,0.4,2.52,1.59,0.54
20181015,-0.48,0.9,0.53,0.008,-0.06,-0.1,-0.92,-0.72,-0.37
20181016,2.24,0.68,-1.45,0.008,1.85,1.55,2.82,2.96,2.02
20181017,-0.08,-0.67,0.26,0.008,-0.26,-0.57,-0.27,0.63,0.34
20181018,-1.54,-0.54,0.44,0.008,-1.32,-1.09,-1.89,-1.35,-1.62
20181019,-0.25,-1.3,0.73,0.008,0.01,0.03,-0.23,-1.16,-0.18
20181022,-0.38,0.47,-1.23,0.008,0.08,-0.69,0.56,-0.79,-1.33
20181023,-0.62,-0.1,-0.43,0.008,0.15,-1.72,-0.25,-0.55,-0.79
20181024,-3.33,-0.92,0.78,0.008,-2.16,-2.26,-4.54,-3.68,-3.18
20181025,1.93,0.4,-0.6,0.008,2.22,0.71,2.79,1.04,1.95
20181026,-1.65,0.55,0.36,0.008,-2.54,-1.09,-1.92,-0.92,-1.38
20181029,-0.77,-0.31,1.62,0.008,-0.39,-1.1,-1.58,-0.02,-0.05
20181030,1.66,0.41,0.05,0.008,1.56,1.97,1.93,1.06,1.44
20181031,1.22,-0.68,-0.75,0.008,0.45,0.57,2.2,0,1.44
20181101,1.29,1.33,-1.13,0.008,1.53,1.72,0.93,2.19,0.93
20181102,-0.53,0.81,0.67,0.008,0,-0.1,-1.33,-0.65,-0.17
20181105,0.4,-1.02,1.56,0.008,0.33,0.96,-0.32,0.65,0.87
20181106,0.58,-0.15,0.01,0.008,0.68,0.69,0.66,0.23,0.61
20181107,2.11,-0.34,-1.03,0.008,2.14,1.51,2.48,2.54,1.83
20181108,-0.28,-0.22,0.25,0.008,0.25,-0.97,-0.47,-0.1,0.05
20181109,-1.04,-0.85,0.42,0.008,-0.84,-0.37,-1.55,-0.66,-1.15
20181112,-2.06,0.01,0.86,0.008,-1.66,-1.56,-2.86,-1.64,-1.87
20181113,-0.13,-0.14,0.15,0.008,-0.26,-0.55,-0.01,-0.71,0.42
20181114,-0.77,0.02,-0.26,0.008,-0.85,-0.32,-0.66,-1.04,-1.06
20181115,1.18,0.34,-0.42,0.008,-0.05,1,1.88,1.4,1.25
20181116,0.15,0.01,-0.06,0.008,-0.35,0.65,-0.12,1.07,0.06
20181119,-1.88,-0.69,2.35,0.008,-1.58,-0.99,-3.47,-1.41,-0.93
20181120,-1.85,0.12,-0.54,0.008,-2.18,-1.97,-1.76,-0.88,-1.99
20181121,0.51,0.99,-0.33,0.008,0.34,0.53,0.99,-0.41,0.5
20181123,-0.55,0.82,-0.6,0.008,-0.13,-1.03,-0.64,0.1,-0.63
20181126,1.62,-0.67,-0.2,0.008,1.59,1.15,2.02,0.81,1.83
20181127,0.11,-1.07,0.27,0.008,0.37,-0.33,0.11,0.56,0.11
20181128,2.42,0.44,-1.17,0.008,2.49,1.53,2.93,2.54,2.28
20181129,-0.22,-0.11,-0.1,0.008,-0.18,0.21,-0.31,0.22,-0.58
20181130,0.78,-0.32,-0.45,0.008,0.68,0.78,0.77,1.42,0.62
20181203,1.13,-0.07,-0.79,0.01,1.26,1.54,1.31,0.42,0.93
20181204,-3.45,-0.96,-0.18,0.01,-3.17,-2.83,-3.56,-2.58,-4.28
20181206,-0.16,0.12,-1.04,0.01,0.13,-0.96,0.46,0.1,-0.64
20181207,-2.36,0.19,1.33,0.01,-2.5,-1.29,-2.9,-2.5,-2.27
20181210,0.1,-0.15,-1.65,0.01,0.07,-0.39,1.12,0.63,-0.91
20181211,-0.08,-0.06,-0.39,0.01,0.15,-0.05,0.17,0.25,-0.68
20181212,0.68,0.55,-0.2,0.01,0.6,0.42,0.88,0.78,0.68
20181213,-0.26,-1.5,-0.18,0.01,-0.25,0.15,-0.14,-0.29,-0.65
20181214,-1.89,-0.07,0.51,0.01,-2.19,-1.3,-1.86,-3.32,-1.41
20181217,-2.13,-0.29,1.03,0.01,-2.39,-2.42,-2.31,-2.16,-1.43
20181218,-0.03,0.01,-0.58,0.01,-0.01,-0.48,0.69,-0.67,-0.25
20181219,-1.58,-0.61,0.04,0.01,-1.64,-1.32,-1.74,-1.58,-1.59
20181220,-1.62,-0.3,0.97,0.01,-2.12,-1.61,-1.86,-0.99,-1.2
20181221,-2.17,-0.56,0.78,0.01,-2.25,-1.07,-3.06,-1.67,-2.04
20181224,-2.55,0.99,-0.46,0.01,-2.1,-3.73,-2.37,-2.37,-2.25
20181226,5.06,-0.04,-1.01,0.01,4.97,4.58,5.64,4.71,4.89
20181227,0.78,-0.65,-0.14,0.01,0.35,1.14,0.75,0.91,0.83
20181228,-0.03,0.76,0.23,0.01,0.3,-0.42,-0.11,0.22,0
20181231,0.9,-0.09,-0.46,0.01,0.78,0.78,0.7,1.58,1
20190102,0.23,0.56,1.1,0.01,0.38,0.41,0.33,-1.01,0.47
20190103,-2.45,0.4,1.21,0.01,-1.47,-1.73,-3.7,-2.12,-2.2
20190104,3.55,0.41,-0.7,0.01,2.95,3.3,4.16,3.48,3.47
20190107,0.94,0.97,-0.77,0.01,1.54,0.6,0.9,0.85,0.7
20190108,1.01,0.53,-0.64,0.01,1.14,1.13,1.16,0.97,0.65
20190109,0.56,0.45,0.09,0.01,0.06,0.52,0.75,0.32,0.72
20190110,0.42,0.03,-0.44,0.01,0.11,0.9,0.42,0.29,0.36
20190111,-0.01,0.13,0.22,0.01,0.13,-0.31,-0.12,0.1,0.22
20190114,-0.6,-0.6,0.95,0.01,-0.62,-0.66,-0.77,-1.34,0.12
20190115,1.06,0.01,-0.87,0.01,1.03,0.3,1.46,1.85,0.79
20190116,0.28,0.03,0.92,0.01,-0.13,0.12,-0.09,-0.37,1.44
20190117,0.75,0.11,-0.25,0.01,0.67,1.18,0.69,1.2,0.56
20190118,1.29,-0.35,0.12,0.01,1.14,1.41,1.37,0.87,1.46
20190122,-1.53,-0.4,0.33,0.01,-1.51,-1.74,-1.8,-0.97,-1.23
20190123,0.15,-0.39,-0.15,0.01,0.28,0.1,0.5,-0.25,-0.06
20190124,0.23,0.43,-0.02,0.01,-0.22,0.58,0.6,-0.74,0.32
20190125,0.9,0.45,-0.34,0.01,0.66,0.74,1.3,0.19,1.03
20190128,-0.8,-0.17,0.64,0.01,-0.37,-0.72,-1.16,-1.47,-0.38
20190129,-0.19,-0.02,0.18,0.01,-0.46,0.73,-0.87,0.49,-0.15
20190130,1.51,-0.12,-0.95,0.01,1.36,1.32,2.23,1.36,0.99
20190131,0.92,0.14,-1.07,0.01,1.23,0.6,1.31,1.42,0.23
20190201,0.14,-0.15,0.4,0.01,-1.32,0.53,0.26,0.49,0.64
20190204,0.72,0.49,-0.47,0.01,0.7,0.57,1.33,-0.29,0.59
20190205,0.43,-0.08,-0.59,0.01,0.6,0.41,0.81,0.03,0.11
20190206,-0.22,-0.02,0.07,0.01,-0.36,-0.24,-0.2,0.11,-0.17
20190207,-0.93,-0.12,0.38,0.01,-0.44,-0.95,-1.2,-1.28,-0.72
20190208,0.09,0.05,-0.7,0.01,-0.3,0.08,0.59,0.58,-0.42
20190211,0.14,0.65,0.22,0.01,0.3,0.34,-0.12,0.12,0.28
20190212,1.36,0.02,-0.19,0.01,1.48,1.34,1.35,1.18,1.43
20190213,0.28,0.08,0.06,0.01,0.38,0.53,0.06,0.2,0.4
20190214,-0.21,0.53,-0.57,0.01,-0.62,-0.2,0.19,0.22,-0.58
20190215,1.13,0.24,0.47,0.01,0.75,1.33,0.84,1.38,1.5
20190219,0.19,0.28,0.29,0.01,0.43,0.3,0.13,-0.37,0.29
20190220,0.19,0.23,0.55,0.01,-0.18,0.65,0.05,0.06,0.44
20190221,-0.37,-0.06,-0.21,0.01,-0.21,-0.51,-0.14,-0.81,-0.43
20190222,0.65,0.56,-1.46,0.01,0.09,0.61,1.17,1.1,0.23
20190225,0.15,-0.24,-0.18,0.01,-0.31,0.03,0.32,0.41,0.12
20190226,-0.16,-0.63,-0.3,0.01,-0.07,-0.43,0.06,-0.3,-0.19
20190227,0.09,0.2,-0.11,0.01,0.08,0.26,0.06,0.26,-0.09
20190228,-0.31,0.02,-0.24,0.01,0.19,-0.53,-0.37,0.01,-0.42
20190301,0.72,0.29,-0.41,0.009,0.37,0.72,0.74,1.5,0.59
20190304,-0.52,-0.42,0.37,0.009,-0.36,0.02,-0.48,-0.75,-0.8
20190305,-0.17,-0.31,-0.23,0.009,-0.07,-0.39,-0.03,-0.16,-0.25
20190306,-0.84,-1.26,0.07,0.009,-0.59,-0.81,-0.54,-1.79,-0.85
20190307,-0.82,-0.06,-0.32,0.009,-1.13,-0.46,-0.78,-0.62,-0.94
20190308,-0.22,0.06,-0.17,0.009,-0.31,-0.57,-0.06,-0.41,-0.01
20190311,1.49,0.35,-0.54,0.009,1.55,1.04,2,1.19,1.27
20190312,0.25,-0.27,-0.09,0.009,0.04,0,0.53,0.63,0.08
20190313,0.68,-0.32,0.08,0.009,0.59,0.65,0.57,0.88,0.81
20190314,-0.1,-0.4,0.3,0.009,-0.37,-0.24,-0.03,-0.35,0.24
20190315,0.48,-0.27,-0.27,0.009,0.42,0.26,0.7,0.76,0.34
20190318,0.46,0.13,0.43,0.009,0.92,0.55,0.14,-0.34,0.87
20190319,-0.09,-0.38,-0.92,0.009,0.21,-0.41,0.22,0.61,-0.64
20190320,-0.39,0.02,-1.02,0.009,0,0.02,0.08,-0.39,-1.5
20190321,1.11,0.3,-1.24,0.009,1.27,0.98,1.92,0.3,0.42
20190322,-2.17,-1.51,-0.06,0.009,-1.49,-2.14,-2.17,-2.04,-2.61
20190325,-0.05,0.66,-0.27,0.009,0.32,0.17,-0.28,0.05,-0.18
20190326,0.76,0.17,0.45,0.009,0.63,0.91,0.57,1.07,0.88
20190327,-0.5,0.09,0.49,0.009,-0.27,-0.29,-0.67,-0.92,-0.3
20190328,0.4,0.35,0.02,0.009,0.59,0.29,0.1,0.42,0.76
20190329,0.66,-0.21,-0.92,0.009,0.55,0.51,0.8,1.09,0.49
20190401,1.19,-0.32,0.97,0.01,0.72,1.15,1.37,0.04,1.95
20190402,-0.05,-0.12,-0.44,0.01,-0.62,-0.32,0.33,0.16,-0.04
20190403,0.27,0.21,-0.39,0.01,0.23,-0.16,0.63,-0.16,0.34
20190404,0.19,0.2,0.93,0.01,0.59,0.65,-0.19,-0.42,0.45
20190405,0.52,0.52,-0.08,0.01,0.61,0.89,0.39,0.72,0.29
20190408,0.08,-0.3,0.1,0.01,0.29,-0.13,0.29,-0.17,0.02
20190409,-0.65,-0.57,-0.13,0.01,-0.69,-0.98,-0.27,-0.71,-0.82
20190410,0.48,0.96,-0.11,0.01,0.51,0.23,0.7,0.48,0.38
20190411,0,-0.32,0.39,0.01,0.1,0.43,0.02,-1.06,0.15
20190412,0.65,-0.52,0.64,0.01,0.4,0.86,0.84,-0.55,0.94
20190415,-0.09,-0.21,-0.54,0.01,0.4,-0.37,-0.02,-0.02,-0.28
20190416,0.13,0.12,0.69,0.01,0.22,0.32,0.2,-1.41,0.7
20190417,-0.32,-0.71,0.8,0.01,0.2,-0.17,0.09,-3.22,0.02
20190418,0.11,-0.24,-0.49,0.01,0.01,0.19,0.22,-0.28,0.2
20190422,0.11,-0.45,-0.54,0.01,-0.36,0.37,0.38,-0.06,-0.08
20190423,0.97,0.71,-0.51,0.01,1.07,0.31,1.13,1.81,0.83
20190424,-0.23,0.28,-0.09,0.01,0.09,-0.52,-0.29,-0.23,-0.09
20190425,-0.14,-0.75,-0.19,0.01,-0.65,-0.85,0.28,1.03,-0.33
20190426,0.53,0.46,0.02,0.01,0.72,0.28,0.07,0.81,1.07
20190429,0.18,0.1,0.64,0.01,-0.05,-0.14,0.32,-0.26,0.6
20190430,-0.04,-0.69,0.27,0.01,0.29,0.39,-0.69,0.47,0.13
20190501,-0.83,-0.11,-0.02,0.009,-1.08,-1.49,-0.44,-0.45,-0.79
20190502,-0.16,0.46,-0.29,0.009,0.09,-0.73,-0.41,0.53,0.14
20190503,1.13,0.93,-0.27,0.009,1.27,1.12,1.23,1.06,0.98
20190506,-0.39,0.6,-0.4,0.009,-0.32,-0.73,-0.54,0.42,-0.37
20190507,-1.69,-0.29,0.51,0.009,-1.36,-1.34,-1.91,-2.2,-1.64
20190508,-0.22,-0.15,-0.29,0.009,-0.08,-0.33,-0.22,-0.01,-0.24
20190509,-0.28,0.08,0.12,0.009,-0.28,-0.26,-0.45,-0.13,-0.11
20190510,0.35,-0.36,0.07,0.009,0.24,0.75,0.28,-0.22,0.44
20190513,-2.67,-0.72,0.3,0.009,-2.47,-1.69,-3.44,-1.95,-2.74
20190514,0.93,0.4,-0.06,0.009,0.7,0.62,1.22,0.67,0.98
20190515,0.59,0.05,-0.95,0.009,0.66,0.27,1.18,0.6,-0.02
20190516,0.91,-0.38,-0.3,0.009,0.82,0.74,1.02,0.91,0.98
20190517,-0.73,-0.8,0.3,0.009,-0.62,-0.8,-0.85,-0.51,-0.61
20190520,-0.65,-0.2,0.74,0.009,-0.33,-0.42,-1.46,-0.38,-0.08
20190521,0.9,0.41,-0.34,0.009,0.36,1.02,1.18,0.88,0.93
20190522,-0.4,-0.49,-0.6,0.009,-0.42,-0.68,-0.46,0.52,-0.52
20190523,-1.37,-0.69,-0.26,0.009,-0.97,-1.58,-1.56,-0.45,-1.54
20190524,0.23,0.5,0.3,0.009,0.04,0.14,0.06,0.22,0.62
20190528,-0.78,0.28,-0.62,0.009,-0.9,-1.1,-0.31,-1.25,-0.91
20190529,-0.71,-0.27,0.42,0.009,-0.92,-0.62,-0.82,-1.19,-0.21
20190530,0.14,-0.27,-0.77,0.009,0.34,-0.22,0.44,0.44,-0.18
20190531,-1.37,-0.21,-0.11,0.009,-1.28,-1.22,-1.68,-0.98,-1.29
20190603,-0.4,0.33,1.67,0.009,-0.18,0.75,-1.9,0.64,0.18
20190604,2.33,0.4,-0.05,0.009,1.91,1.75,2.78,1.81,2.7
20190605,0.7,-0.98,-0.96,0.009,0.62,0.58,0.91,0.57,0.62
20190606,0.55,-1.03,0.02,0.009,0.57,0.8,0.81,0.16,0.26
20190607,1.04,0.03,-1.22,0.009,1.26,0.48,1.67,1.17,0.47
20190610,0.53,-0.05,0.06,0.009,0.84,0.02,0.79,0.1,0.62
20190611,-0.12,-0.25,0.55,0.009,0.28,-0.28,-0.07,-0.3,-0.13
20190612,-0.2,0.41,-0.99,0.009,-0.05,-0.34,-0.38,0.79,-0.46
20190613,0.52,0.67,-0.03,0.009,0.68,0.81,0.63,-0.15,0.29
20190614,-0.27,-0.75,0.32,0.009,0.01,-0.34,-0.53,-0.47,0.04
20190617,0.15,0.63,-1.14,0.009,0.09,0,0.47,0.9,-0.53
20190618,1.04,0.15,0.32,0.009,0.3,1.17,1.4,1,1.09
20190619,0.32,0.12,-0.59,0.009,0.31,0.14,0.45,0.82,0.09
20190620,0.89,-0.36,-0.21,0.009,0.66,1.54,1.1,0.5,0.68
20190621,-0.21,-0.48,-0.01,0.009,-0.31,-0.01,-0.32,0.2,-0.27
20190624,-0.34,-0.89,0.08,0.009,-0.38,-0.26,-0.05,-0.6,-0.48
20190625,-0.98,0.35,0.71,0.009,-0.52,-0.59,-1.68,-0.3,-0.73
20190626,-0.06,-0.08,0.24,0.009,-0.12,-0.04,0.46,-1.25,-0.1
20190627,0.6,1.41,-0.11,0.009,0.5,-0.01,0.48,0.78,1.05
20190628,0.68,0.63,0.59,0.009,0.25,0.94,0.39,0.69,1.15
20190701,0.75,-0.54,-0.16,0.009,0.61,0.2,1.16,0.58,0.82
20190702,0.14,-0.8,-0.78,0.009,0.31,-0.45,0.52,0.19,-0.07
20190703,0.78,-0.06,-0.31,0.009,0.96,0.7,0.73,0.89,0.77
20190705,-0.1,0.16,0.89,0.009,-0.02,-0.19,0,-0.89,0.14
20190708,-0.58,-0.44,0.05,0.009,0.04,-0.35,-0.82,-1,-0.63
20190709,0.18,-0.16,-0.45,0.009,0.03,-0.29,0.42,0.5,0.23
20190710,0.4,-0.16,-0.39,0.009,0.52,0.36,0.86,0.29,-0.16
20190711,0.19,-0.8,0.05,0.009,0.18,0.24,0.11,-0.94,0.79
20190712,0.53,0.2,0.4,0.009,0.82,0.76,0.65,-1.2,0.82
